Datetime,valueACC
2024-10-09 13:07:00.004080,"[32, -3, 54]"
2024-10-09 13:07:00.035330,"[33, -3, 54]"
2024-10-09 13:07:00.066580,"[32, -3, 54]"
2024-10-09 13:07:00.097830,"[33, -3, 54]"
2024-10-09 13:07:00.129080,"[33, -3, 54]"
2024-10-09 13:07:00.160330,"[32, -3, 53]"
2024-10-09 13:07:00.191580,"[32, -3, 53]"
2024-10-09 13:07:00.222840,"[32, -3, 53]"
2024-10-09 13:07:00.254090,"[32, -3, 54]"
2024-10-09 13:07:00.285340,"[32, -3, 54]"
2024-10-09 13:07:00.316590,"[32, -3, 53]"
2024-10-09 13:07:00.347840,"[33, -3, 54]"
2024-10-09 13:07:00.379090,"[33, -3, 54]"
2024-10-09 13:07:00.410350,"[32, -3, 54]"
2024-10-09 13:07:00.441600,"[32, -3, 54]"
2024-10-09 13:07:00.472850,"[33, -3, 53]"
2024-10-09 13:07:00.504100,"[33, -3, 54]"
2024-10-09 13:07:00.535350,"[32, -3, 54]"
2024-10-09 13:07:00.566600,"[32, -3, 54]"
2024-10-09 13:07:00.597850,"[32, -3, 53]"
2024-10-09 13:07:00.629110,"[33, -4, 53]"
2024-10-09 13:07:00.660360,"[33, -3, 54]"
2024-10-09 13:07:00.691610,"[32, -3, 54]"
2024-10-09 13:07:00.722860,"[33, -3, 53]"
2024-10-09 13:07:00.754110,"[32, -3, 53]"
2024-10-09 13:07:00.785360,"[32, -3, 54]"
2024-10-09 13:07:00.816610,"[33, -3, 53]"
2024-10-09 13:07:00.847870,"[32, -3, 54]"
2024-10-09 13:07:00.879120,"[32, -3, 54]"
2024-10-09 13:07:00.910370,"[33, -3, 53]"
2024-10-09 13:07:00.941620,"[33, -4, 54]"
2024-10-09 13:07:00.972870,"[32, -3, 54]"
2024-10-09 13:07:01.004120,"[33, -3, 53]"
2024-10-09 13:07:01.035370,"[33, -3, 54]"
2024-10-09 13:07:01.066630,"[33, -3, 53]"
2024-10-09 13:07:01.097880,"[33, -3, 53]"
2024-10-09 13:07:01.129130,"[33, -3, 53]"
2024-10-09 13:07:01.160380,"[32, -3, 53]"
2024-10-09 13:07:01.191630,"[33, -3, 54]"
2024-10-09 13:07:01.222880,"[32, -3, 53]"
2024-10-09 13:07:01.254130,"[33, -3, 53]"
2024-10-09 13:07:01.285390,"[32, -3, 54]"
2024-10-09 13:07:01.316640,"[32, -3, 54]"
2024-10-09 13:07:01.347890,"[33, -3, 54]"
2024-10-09 13:07:01.379140,"[33, -3, 54]"
2024-10-09 13:07:01.410390,"[33, -3, 54]"
2024-10-09 13:07:01.441640,"[33, -3, 54]"
2024-10-09 13:07:01.472890,"[33, -3, 53]"
2024-10-09 13:07:01.504150,"[33, -3, 53]"
2024-10-09 13:07:01.535400,"[32, -3, 53]"
2024-10-09 13:07:01.566650,"[32, -3, 53]"
2024-10-09 13:07:01.597900,"[33, -3, 54]"
2024-10-09 13:07:01.629150,"[33, -3, 54]"
2024-10-09 13:07:01.660400,"[33, -3, 54]"
2024-10-09 13:07:01.691650,"[32, -3, 54]"
2024-10-09 13:07:01.722910,"[32, -3, 54]"
2024-10-09 13:07:01.754160,"[33, -3, 54]"
2024-10-09 13:07:01.785410,"[33, -3, 54]"
2024-10-09 13:07:01.816660,"[32, -3, 53]"
2024-10-09 13:07:01.847910,"[33, -3, 54]"
2024-10-09 13:07:01.879160,"[33, -3, 54]"
2024-10-09 13:07:01.941670,"[33, -3, 54]"
2024-10-09 13:07:01.972920,"[32, -3, 54]"
2024-10-09 13:07:02.004170,"[32, -3, 54]"
2024-10-09 13:07:02.035420,"[33, -3, 54]"
2024-10-09 13:07:02.066670,"[33, -3, 54]"
2024-10-09 13:07:02.097920,"[33, -3, 54]"
2024-10-09 13:07:02.129170,"[32, -3, 53]"
